E,lambda,R,lambda_star,lambda_over_lambda_star
0.2,0.02,-0.09014271626514217,0.23027113526968063,0.08685413383043916
0.2,0.05,-0.2242222227451485,0.23027113526968063,0.2171353345760979
0.2,0.08,-0.3569391412934993,0.23027113526968063,0.34741653532175665
0.2,0.12,-0.5317828647875673,0.23027113526968063,0.521124802982635
0.2,0.16,-0.7042331956707321,0.23027113526968063,0.6948330706435133
0.2,0.2,-0.8743225469676148,0.23027113526968063,0.8685413383043916
0.2,0.3,-1.2894951261019787,0.23027113526968063,1.3028120074565874
0.2,0.4,-1.6909320692639163,0.23027113526968063,1.7370826766087832
0.2,0.55,-2.269172520771131,0.23027113526968063,2.388488680337077
0.2,0.7,-2.821218855124337,0.23027113526968063,3.0398946840653704
0.5,0.02,-0.07460375257394268,0.2695389677052914,0.07420077390022362
0.5,0.05,-0.18657109738983416,0.2695389677052914,0.18550193475055904
0.5,0.08,-0.29852256029535296,0.2695389677052914,0.29680309560089446
0.5,0.12,-0.44761197110978873,0.2695389677052914,0.44520464340134164
0.5,0.16,-0.5963294161649317,0.2695389677052914,0.5936061912017889
0.5,0.2,-0.7445206235206675,0.2695389677052914,0.7420077390022362
0.5,0.3,-1.1119108579602455,0.2695389677052914,1.1130116085033541
0.5,0.4,-1.4738281275824385,0.2695389677052914,1.4840154780044723
0.5,0.55,-2.0047273554447145,0.2695389677052914,2.0405212822561496
0.5,0.7,-2.5202564538510543,0.2695389677052914,2.597027086507826
0.8,0.02,-0.0612580316260578,0.3124147296490771,0.06401746813431362
0.8,0.05,-0.15419680083764054,0.3124147296490771,0.16004367033578407
0.8,0.08,-0.24825431140615006,0.3124147296490771,0.2560698725372545
0.8,0.12,-0.37514279064142053,0.3124147296490771,0.3841048088058817
0.8,0.16,-0.5034176402014042,0.3124147296490771,0.512139745074509
0.8,0.2,-0.6327785303949892,0.3124147296490771,0.6401746813431363
0.8,0.3,-0.9592464724490092,0.3124147296490771,0.9602620220147043
0.8,0.4,-1.2875140119199175,0.3124147296490771,1.2803493626862725
0.8,0.55,-1.7782327792421808,0.3124147296490771,1.7604803736936248
0.8,0.7,-2.262617537555473,0.3124147296490771,2.2406113847009768
0.95,0.02,-0.0536519621052468,0.34099463093004073,0.05865194987220561
0.95,0.05,-0.13571863561244055,0.34099463093004073,0.14662987468051403
0.95,0.08,-0.2195400103764867,0.34099463093004073,0.23460779948882243
0.95,0.12,-0.3337422024890183,0.34099463093004073,0.3519116992332336
0.95,0.16,-0.450383139915083,0.34099463093004073,0.46921559897764487
0.95,0.2,-0.5691009258085247,0.34099463093004073,0.5865194987220561
0.95,0.3,-0.8728393612752696,0.34099463093004073,0.879779248083084
0.95,0.4,-1.1830278806980594,0.34099463093004073,1.1730389974441122
0.95,0.55,-1.653149637095537,0.34099463093004073,1.6129286214856542
0.95,0.7,-2.1224162866491874,0.34099463093004073,2.052818245527196
1.05,0.02,-0.04793134040162263,0.36540070597087637,0.054734431743528336
1.05,0.05,-0.12175573090718794,0.36540070597087637,0.13683607935882086
1.05,0.08,-0.1977525024852894,0.36540070597087637,0.21893772697411334
1.05,0.12,-0.30218189293125236,0.36540070597087637,0.32840659046117
1.05,0.16,-0.40980216677768816,0.36540070597087637,0.4378754539482267
1.05,0.2,-0.5202344523939988,0.36540070597087637,0.5473443174352834
1.05,0.3,-0.8062632208979603,0.36540070597087637,0.8210164761529251
1.05,0.4,-1.1024936303805624,0.36540070597087637,1.094688634870567
1.05,0.55,-1.557118015840667,0.36540070597087637,1.5051968729470293
1.05,0.7,-2.015496675417137,0.36540070597087637,1.9157051110234917
