E,lambda_star,S0,L,chi_lamS0,chi_lamS0_over_L
0.01,0.2033017628846597,2.9967202956055043,2.5514143820163895,0.6092385189688376,0.23878462207591494
0.03,0.206171907027637,2.930183198356033,2.4171318427797455,0.6041214579454041,0.24993318413721835
0.05,0.209027003790563,2.875530592845368,2.3533326774999725,0.6010635441305685,0.25540950919404193
0.1,0.21609489837709217,2.7554462838289124,2.2636669492803456,0.5954378846875451,0.2630412945141263
0.2,0.22991286497458605,2.5383226480303027,2.16635532334464,0.5835930322385247,0.26938934068189435
0.3,0.24331674328760317,2.328364186347645,2.101675743246342,0.566529991009599,0.26956108373526333
0.4,0.25640435727675454,2.115766030740882,2.0486558129741272,0.542491629260106,0.2648036950982733
0.5,0.26939511085418405,1.8946821024517788,1.9999999999989497,0.5104180950234355,0.25520904751185175
0.6,0.28265894687541104,1.6592831116451425,1.9513441870284969,0.4690112169057711,0.2403528911114243
0.7,0.2967477933581837,1.4015390613863967,1.898324256960437,0.4159036237717132,0.21908987479180753
0.8,0.3124270032741408,1.1072221415430905,1.8336446766928085,0.34592609564108434,0.18865492319100902
0.9,0.3306948917329142,0.7416521902269233,1.7363330507150334,0.2452605907505711,0.1412520430049818
0.95,0.3411758778468798,0.49677795061461044,1.6466673224998671,0.16948865339591362,0.10292829102760512
0.98,0.34799282957227556,0.29170510218845946,1.5329815640251783,0.1015112839112318,0.06621820267994075
0.99,0.35036180519919496,0.1943890450470407,1.4485856180454908,0.0681064967336288,0.04701585870051763

CV_lamS0_percent,43.86546051665378
CV_lamS0_over_L_percent,36.5217584106409
